latitude,longitude,altitude
69.108716,15.588747000000016,67.07999999597668
69.10871601164011,15.588746982390676,67.76193315647542
69.10871604663416,15.588746902959572,70.39366171360015
69.1087160909354,15.588746816876846,75.07800622433423
69.10871610453523,15.58874674961501,81.89337686821818
69.10871605672405,15.58874674315171,90.91991808414458
69.1087159088183,15.588746850213598,102.23948014900088
69.1087156674477,15.588747048703288,115.93550861254334
69.10871536663123,15.588747265960585,132.09303745888172
69.10871501319465,15.58874738378032,150.79860757738354
69.10871459350574,15.588747394979436,172.14023080654442
69.10871409393746,15.588747258666984,196.2072917226702
69.10871351820936,15.5887469827066,223.09053836502133
69.10871286270539,15.588746508717712,252.88191297277808
69.10871213418501,15.58874583033535,285.67455478683115
69.10871138649468,15.588744998747428,321.5626635968685
69.10871059383771,15.588744084980444,360.6415048185736
69.10870973824797,15.588743201113926,403.00750951431695
69.10870883791499,15.58874232021533,448.7602024331689
69.10870789120239,15.588741390598717,498.00219249911606
69.108706890304,15.588740270387756,550.8384611673653
69.10870615157786,15.588738621067588,607.3763675060122
69.1087061098919,15.588736077485745,667.7258441772311
69.10870717411257,15.588732335873342,731.9997032683342
69.10870972450189,15.588727082288264,800.3139698032289
69.10871412057257,15.588719962257674,872.7881409969181
69.10872073453132,15.58871067912654,949.5456116326153
69.10873000078182,15.588698906963607,1030.7139807533472
69.1087421139382,15.588684470684369,1116.423929927498
69.10875731996795,15.58866722035537,1206.803585823253
69.10877609548422,15.588646783764403,1301.9824996914715
69.10879901476768,15.588622671130032,1402.0933657106011
69.10882669835424,15.588594250566672,1507.2723056539892
69.1088597795501,15.588561035423991,1617.6595981378107
69.10889900808299,15.588522422791527,1733.3990074820815
69.10894519615407,15.588477914371532,1854.638857231289
69.10899920057994,15.588426860538164,1981.5272028252482
69.10906192231121,15.588368476247258,2114.2028947938234
69.10913429115604,15.588301945801287,2252.804522294551
69.10921728174792,15.58822651913122,2397.4724642973392
69.10931195897534,15.588141363939036,2548.3482663307345
69.1094194312284,15.588045521194756,2705.5748623542486
69.10954085881586,15.587938031456703,2869.2966800440104
69.10967748703197,15.587817958242333,3039.659499198943
69.10983059913617,15.58768428817124,3216.8109957005827
69.1100014744393,15.587535799785094,3400.9013888038694
69.11019151221787,15.587371458794596,3592.082229920849
69.11040214122072,15.587190185848463,3790.5076351940634
69.11063485787353,15.586990951535096,3996.3276801265774
69.11089122832071,15.58677246007496,4209.681358753144
69.11117288930774,15.586533490520395,4430.705809712783
69.11148140164289,15.586272632747962,4659.5403898570685
69.11181846316609,15.585988419530926,4896.3217754937705
69.11218582639408,15.585679576389968,5141.186668667569
69.11258520394217,15.585344765126829,5394.273686064407
69.11301842852573,15.584982672198535,5655.719091007858
69.11348734018198,15.58459199609048,5925.659431301057
69.11399382468471,15.58417122302162,6204.206041356549
69.11453970804618,15.58371881732056,6491.444485436752
69.11512685102788,15.583233219212955,6787.454233724624
69.11575713125326,15.582713025255211,7092.305105375871
69.11643227723631,15.582156929708358,7406.005657019466
69.1171539809397,15.581563723609936,7728.520088047161
69.11792399927695,15.58093202743404,8059.7956867653875
69.11874390546059,15.580260610861792,8399.739352264254
69.11961517345436,15.579548209310198,8748.164911914244
69.12053920076147,15.578793841633267,9104.862373721971
69.12151737416195,15.577996187299648,9469.636094876378
69.12255153154287,15.577153930381828,9842.509101182966
69.1236437987855,15.576265284180044,10223.608886767923
69.12479637820525,15.575328568837772,10613.065979558229
69.12601150544273,15.574341782508414,11011.01230425797
69.1272913778451,15.573303140596186,11417.588916783032
69.12863834494237,15.572211107159037,11832.962245931849
69.13005533956503,15.571063180343865,12257.447016954795
69.13154562907398,15.569856836922272,12691.447339874134
69.13311264097398,15.568589531212831,13135.404896926135
69.1347600938663,15.567258068249096,13589.787484687195
69.13649129150122,15.56585976378024,14054.938683737444
69.13830883600382,15.564392967792406,14531.00079927966
69.14021539915584,15.562855523821078,15018.096846357732
69.14221369751623,15.561245598974589,15516.364622918889
69.14430662098245,15.559560768307051,16025.976654195787
69.14649716446951,15.557798190849644,16547.127208531645
69.1487882804914,15.555955643275835,17080.03344707228
69.15118293644196,15.554030930689027,17624.900260996073
